Time Relative (sec),Pressure_(mBar),Raw_Signal_Amps,mz,True_Concentration_ppm,Primary_Gas
53.641,1.476026682e-05,1.327762233e-09,16,100,Methane
53.878,1.469531253e-05,1.323578469e-09,16,100,Methane
54.115,1.471387804e-05,1.327814081e-09,16,100,Methane
54.351,1.471753876e-05,1.337237543e-09,16,100,Methane
54.588,1.469860035e-05,1.34645306e-09,16,100,Methane
54.825,1.476582929e-05,1.344900968e-09,16,100,Methane
55.062,1.467983202e-05,1.343386624e-09,16,100,Methane
55.299,1.476961734e-05,1.33454392e-09,16,100,Methane
55.535,1.454970607e-05,1.349159784e-09,16,100,Methane
55.772,1.457360941e-05,1.350978107e-09,16,100,Methane
56.009,1.463193985e-05,1.352953305e-09,16,100,Methane
56.246,1.469423933e-05,1.357142954e-09,16,100,Methane
56.483,1.474862347e-05,1.34734135e-09,16,100,Methane
56.719,1.47042656e-05,1.353517631e-09,16,100,Methane
56.956,1.469274594e-05,1.342111422e-09,16,100,Methane
57.193,1.470842017e-05,1.332897015e-09,16,100,Methane
57.43,1.474790042e-05,1.322556398e-09,16,100,Methane
57.667,1.471913038e-05,1.340456968e-09,16,100,Methane
57.903,1.48444733e-05,1.33409539e-09,16,100,Methane
58.14,1.471000269e-05,1.32631206e-09,16,100,Methane
58.377,1.473424163e-05,1.331528221e-09,16,100,Methane
58.614,1.468256596e-05,1.336847189e-09,16,100,Methane
58.851,1.470725056e-05,1.345071832e-09,16,100,Methane
59.087,1.468794744e-05,1.334127475e-09,16,100,Methane
59.324,1.471092855e-05,1.350661027e-09,16,100,Methane
59.561,1.471093674e-05,1.335981659e-09,16,100,Methane
59.798,1.481307936e-05,1.334578115e-09,16,100,Methane
60.035,1.473480188e-05,1.345082046e-09,16,100,Methane
60.271,1.467063339e-05,1.347936096e-09,16,100,Methane
60.508,1.470557982e-05,1.333968158e-09,16,100,Methane
60.745,1.472823715e-05,1.343921863e-09,16,100,Methane
60.982,1.483457072e-05,1.33476008e-09,16,100,Methane
61.219,1.464320576e-05,1.352717049e-09,16,100,Methane
61.455,1.468586106e-05,1.340352052e-09,16,100,Methane
61.692,1.468739629e-05,1.348279377e-09,16,100,Methane
61.929,1.464417073e-05,1.336544431e-09,16,100,Methane
62.166,1.469941981e-05,1.331293409e-09,16,100,Methane
62.403,1.470733059e-05,1.334842348e-09,16,100,Methane
62.639,1.473125667e-05,1.321825871e-09,16,100,Methane
62.876,1.470122152e-05,1.331334265e-09,16,100,Methane
63.113,1.474400779e-05,1.331296295e-09,16,100,Methane
63.35,1.470836833e-05,1.328963051e-09,16,100,Methane
63.587,1.47595747e-05,1.329380495e-09,16,100,Methane
63.823,1.471071209e-05,1.331742716e-09,16,100,Methane
64.06,1.469534436e-05,1.340064837e-09,16,100,Methane
64.297,1.478424292e-05,1.347154721e-09,16,100,Methane
64.534,1.473968132e-05,1.344678924e-09,16,100,Methane
64.771,1.471731684e-05,1.333564148e-09,16,100,Methane
65.007,1.474253349e-05,1.341395328e-09,16,100,Methane
65.244,1.47470555e-05,1.342266187e-09,16,100,Methane
65.481,1.485154007e-05,1.348735568e-09,16,100,Methane
65.718,1.478149807e-05,1.340133005e-09,16,100,Methane
65.955,1.471732594e-05,1.345725864e-09,16,100,Methane
66.191,1.473909015e-05,1.344919398e-09,16,100,Methane
66.428,1.4732821e-05,1.340765499e-09,16,100,Methane
66.665,1.484582208e-05,1.34909528e-09,16,100,Methane
66.902,1.475720273e-05,1.347251199e-09,16,100,Methane
67.139,1.479583534e-05,1.359318547e-09,16,100,Methane
67.375,1.455326674e-05,1.354192536e-09,16,100,Methane
67.612,1.476769648e-05,1.341715405e-09,16,100,Methane
67.849,1.468504252e-05,1.329166111e-09,16,100,Methane
68.086,1.467966194e-05,1.340985656e-09,16,100,Methane
68.323,1.473210341e-05,1.340788036e-09,16,100,Methane
68.559,1.479781804e-05,1.343809508e-09,16,100,Methane
68.796,1.473700468e-05,1.346069145e-09,16,100,Methane
69.033,1.468454684e-05,1.34414202e-09,16,100,Methane
69.27,1.46883649e-05,1.342435163e-09,16,100,Methane
69.507,1.4761702e-05,1.35213063e-09,16,100,Methane
69.743,1.45439808e-05,1.336545874e-09,16,100,Methane
69.98,1.459689793e-05,1.342300493e-09,16,100,Methane
70.217,1.465112564e-05,1.346169398e-09,16,100,Methane
70.454,1.469533345e-05,1.337458033e-09,16,100,Methane
70.691,1.473710472e-05,1.335474953e-09,16,100,Methane
70.927,1.473761586e-05,1.34527256e-09,16,100,Methane
71.164,1.47118617e-05,1.340009326e-09,16,100,Methane
71.401,1.467359925e-05,1.335910493e-09,16,100,Methane
71.638,1.472098393e-05,1.349548029e-09,16,100,Methane
71.875,1.480988794e-05,1.362819746e-09,16,100,Methane
